title,context,desired_output,oc
1992 Ukrainian Cup,"The competition started on February 10 and the final was played on May 31. Only the clubs participants of the Supreme and First Leagues competed this season. It was the first National Cup edition replacing the previous competition of the Ukrainian SSR Cup, which was organized as a regional qualification competition for the Soviet Cup. The last winner of that Soviet competition FC Temp Shepetivka was eliminated in the first preliminary round by Kremin Kremenchuk. Simultaneously, three of the participating Ukrainian clubs were still competing in the Soviet Cup. The first trophy was won by Chornomorets Odessa thus qualifying to the qualification round of UEFA Cup Winners' Cup.","Like the championship, the first edition of the Cup had a tight schedule as the Football Federation of Ukraine was given just several months in order to switch to the European seasonal format with the minimum required matches played.",False
Terapon Adhahn,"Charges were filed against him involving the rape and abduction of 11-year-old Sabrina Rasmussen near Fort Lewis, Washington in 2000 and the repeated sexual assaults of a teenage acquaintance that span from 2000 to 2004.","Terapon Dang Adhahn is a Thai convicted sex offender and a former Bhikkhu who, in May 2008, was sentenced to life in prison for raping and murdering 12-year-old Zina Linnik in Tacoma, Washington.",False
"Gandhi, My Father","It was produced by Bollywood actor Anil Kapoor, and released on 3 August 2007. The film explores the troubled relationship between Mahatma Gandhi and his son Harilal Gandhi.","Gandhi, My Father is a 2007 Indian biographical drama film by Feroz Abbas Khan.",False
Sainte-Geneviève-de-Batiscan,"This municipality is part of the Les Chenaux Regional County Municipality in Batiscanie and in the administrative region of Mauricie. It is located along the Batiscan River. The town of Sainte-Geneviève-de-Batiscan was the seat of the Lordship of Batiscan from 1665 and Champlain County from 1855 to 1981. During the first centuries of its history, the economy of the area has been focused on forestry, agriculture, fishing and river transport. Sainte-Geneviève was also a prominent center of trade for the Batiscanie.",Sainte-Geneviève-de-Batiscan is a parish municipality in the Mauricie region of the province of Quebec in Canada.,False
The Curse of the Thirty Denarii,"The story was written by Jean Van Hamme. Its completion was delayed with the death of the artist, René Sterne, on 15 November 2006. The book was completed by Sterne's girlfriend Chantal de Spiegeleer and was released on 20 November 2009. It is a two-part installment containing ""The Manuscript of Nicodemus"" (Le manuscrit de Nicodemus) as part 1 and ""The Gate of Orpheus"" (La porte d'Orphée) as part 2. It tells of the search for the 30 pieces of silver paid to Judas Iscariot for his betrayal of Jesus.",The Curse of the Thirty Denarii is the nineteenth Blake and Mortimer book in the series.,False
Albertine (song),"It was largely inspired by a Rwandan orphan, by the name of Albertine, whom Fraser met while there in 2005. ""Albertine"" did not appear on any record chart, but it won Fraser the annual APRA Silver Scroll.","""Albertine"" is a song by singer-songwriter Brooke Fraser, and the third single from her second studio album, Albertine.",False
"Champlain, Quebec","It is located in Les Chenaux Regional County Municipality and the administrative region the Mauricie, on the north shore of St. Lawrence River. Champlain is also part of the metropolitan area of Trois-Rivières. Champlain is a member of the Association of the Most Beautiful Villages of Quebec.","Champlain is a municipality in the province of Quebec, Canada.",False
Dai Gohonzon,"The image is the main object of worship of Nichiren Shoshu Buddhism, which claims that the image was painted by Nichiren on wood, then carved by his artisan disciple Izumi Ajari  Nippo. The High Priests of Nichiren Shoshu copy and transcribe their own rendition of the image, which is meticulously loaned to the followers of the sect. Due to its accorded sacrosanct status, the mandala can only be audienced to Hokkeko believers. The image was first explicitly mentioned in the last will and testament of Nikko Shonin for his designated successor Nichimoku, annually displayed every April 6 or 7 during the Goreiho O-mushibarai Daiho-e ceremony (English: The Airing of Sacred Treasures; 御 霊 宝 虫 払 大 法 会) at the Head Temple. Buildings at Taiseki-ji in Shizuoka, Japan that have housed the Dai Gohonzon are the Shimonobo (1290), the Mutsubo (1332), the Mieido (1680), Gohozo (1717), the Hoanden (1955), the Shohondo (1978), and the Hoando (2002).","The Dai Gohonzon of the High Sanctuary of the Essential Teachings, commonly known as the Dai Gohonzon Gohonzon or Honmon—Kaidan—no—Dai—Gohonzon, Japanese: 本 門 戒 壇 の 大 御 本 尊) is a venerated calligraphic mandala image inscribed with Sanskrit and Chinese characters on a median log trunk of Japanese camphorwood.",False
Bite angle,"This geometric parameter is used to classify chelating ligands, including those in organometallic complexes. It is most often discussed in terms of catalysis, as changes in bite angle can affect not just the activity and selectivity of a catalytic reaction but even allow alternative reaction pathways to become accessible. Although the parameter can be applied generally to any chelating ligand, it is commonly applied to describe diphosphine ligands, as they can adopt a wide range of bite angles.",In coordination chemistry the bite angle is the ligand–metal–ligand bond angle of coordination complex containing a bidentate ligand.,False
Steven Smith (Australian rules footballer),"Making his debut during the 1974 VFL season, Smith appeared 203 times for Melbourne and kicked 144 goals until his retirement at the end of the 1985 VFL season. In 1981, Smith won the Keith 'Bluey' Truscott Medal, which is awarded to Melbourne's best and fairest player for the season. Smith was the first Little League player to play in the VFL and is only one of four footballers to have played 200 VFL/AFL games but not play a final (the other three being Trevor Barker, Gary Hardeman and Geoff Cunningham). In 2015, Smith was elected President of the Melbourne Cricket Club.",Steven Smith is a former Australian rules footballer who played with Melbourne in the Victorian Football League .,False
U.S. Route 93 in Arizona,"As part of a proposal by municipal leaders in Nevada and Arizona, the highway could be replaced by Interstate 11 (I-11).",U.S. Route 93 in the state of Arizona is a United States Numbered Highway that begins in Wickenburg and heads north to the Nevada state line at the Mike O'Callaghan–Pat Tillman Memorial Bridge.,False
Tie-breaking in Swiss-system tournaments,"This is needed when prizes are indivisible, such as titles, trophies, or qualification for another tournament. Otherwise players often share the tied spots, with cash prizes being divided equally among the tied players. If the players are still tied after one tie-break system is used, another system is used, and so on, until the tie is broken. Most of the methods are numerical methods based on the games that have already been played or other objective factors, while some methods require additional games to be played, etc. Strength of schedule is the idea behind the methods based on the games already played: that the player that played the harder competition to achieve the same number of points should be ranked higher. Harry Golombek points out deficiencies in most of the tie-break systems and recommends a playoff if there is time. If not, he recommends Sonneborn-Berger and then the player who has the most wins. For Swiss tournaments, he recommends the Buchholz system and the Cumulative system . For Swiss chess tournaments for individuals (not teams), FIDE recommends - in an Annex to the FIDE Tournament Regulations regarding tiebreaks: Buchholz Cut 1 (the Buchholz score reduced by the lowest score of the opponents) Buchholz (the sum of the scores of each of the opponents of a player) The result of the direct encounter(s) between the players (if any) The Average Rating of Opponents Cut (the average rating of opponents, excluding one or more of the ratings of the opponents, starting from the lowest-rated opponent) The greater number of wins including forfeits The greater number of wins with Black pieces The greater number of games with Black (unplayed games shall be counted as played with White) Sonneborn-Berger",Tie-break systems are used in chess Swiss system tournaments to break ties between players who have the same total number of points after the last round.,False
USS Quest (AM-281),"She was decommissioned in 1947 after wartime service and transferred to the Philippine Navy in 1948 where she served as presidential yacht RPS Pag-asa (APO-21). In 1955, she was renamed Santa Maria and, later, Mount Samat (TK-21), serving as a patrol corvette of the . She was decommissioned from the Philippine Navy in 1970; beyond that, her fate is not reported in secondary sources.",{| |} USS Quest was an built for the United States Navy during World War II.,False
Jaipur Literature Festival,"It was founded in 2006. It is the world's largest free literary festival. The Diggi Palace Hotel serves as the main venue of the festival, with sessions held in the Hall of Audience and throughout the gardens of the Diggi Palace in the city centre. The festival directors are the writers Namita Gokhale and William Dalrymple and it is produced by Sanjoy Roy of Teamwork Arts. Surina Narula is the Founder Sponsor and Festival Advisor for the literature festival. The Festival is an Initiative of the Jaipur Virasat Foundation (JVF) founded by Faith Singh, originally as a segment of the Jaipur Heritage International Festival in 2006, and developed into a free-standing festival of literature standing on its own feet in 2008. JVF's Community Director Vinod Joshi is its regional advisor. All events at the festival are free and not ticketed. In 2012, a number of events occurred related to the Salman Rushdie and the Satanic Verses controversy. A number of events created by the organisers of JLF, loosely named JLF International, have taken place in other cities around the world.","The Jaipur Literature Festival, or JLF, is an annual literary festival which takes place in the Indian city of Jaipur each January.",False
Tassie Johnson,"He was known by his nickname Tassie as there were two other Johnsons at the club at the time he was recruited from North Launceston in Tasmania. Johnson was a premiership player with Melbourne in 1959, 1960 and 1964. He captained the club during the 1969 season, but they finished in last place. In 1971 he was captain-coach of Box Hill in the Victorian Football Association (VFA). In 2004 he was named at full-back in both Melbourne and Tasmania's Team of the Century. In 2015, he died after a long illness.","Robert ""Tassie"" Johnson was an Australian rules footballer who played with Melbourne in the Victorian Football League during the 1960s.",False
Touch Detective 2 ½,"It is a sequel to the Nintendo DS game, Touch Detective that is centered around the titular character, Mackenzie. It was released in North America on October 9, 2007 and features 5 chapters that each have a case to be solved. Like its predecessor, this game is a point-and-click game that utilizes the device's touch screen. Its release sparked the development of many Funghi based spin-off games for mobile devices.",Touch Detective 2 ½  is an adventure game for the Nintendo DS.,False
Hassa Mann,"He earned the name Hassa when he was a toddler, from his cousin and future Melbourne footballer Len Mann. A centreman, Mann was recruited from Rutherglen, Victoria and made his debut for Melbourne in their premiership season of 1959. He was a premiership player again the following season and went on to become the club captain in 1965, a position he kept for four seasons. Mann finished in the top 10 of the Brownlow Medal count four times, including placing equal 7th in 1966 and equal 5th in 1967. He won Melbourne's Best and Fairest back to back in 1962 and 1963, and for a third time in 1967. He also twice topped their goalkicking, doing so as captain in 1967 and 1968. For his performance for Victoria in the 1966 Hobart Carnival he earned All-Australian selection. After finishing his VFL career in Victoria he became captain-coach at South Fremantle, in Western Australia in the WAFL, winning a best and fairest in his debut season and captain-coaching that club to a Premiership in his second year, 1970. Mann coached Caulfield in the Victorian Football Association in 1981, and he was coach of the 1982 Eltham premiership team. In 2000 he was named at the half forward flank in Melbourne's official 'Team of the Century'. He was inducted into the Australian Football Hall of Fame in 2013.","Harold Peter ""Hassa"" Mann is a former Australian rules footballer who played for and captained Melbourne in the VFL during the 1960s.",False
USS Ransom (AM-283),"She was awarded three battle stars for service in the Pacific during World War II. She was decommissioned in March 1947 and placed in reserve. Although she did not see service in the war zone, Ransom was recommissioned in March 1951 during the Korean War and remained in commission until September 1953, when she was placed in reserve again. While she remained in reserve, Ransom was reclassified as MSF-283 in February 1955 but never reactivated. In 1962 she was sold to the Mexican Navy and renamed ARM DM-12. In 1994 she was renamed ARM Teniente Juan de la Barrera (C55). She was stricken in 2000, but her ultimate fate is not reported in secondary sources.",{| |} USS Ransom was an built for the United States Navy during World War II.,False
Nissan P35,"Developed by Nissan Performance Technology Inc. (NPTI), which had formerly raced under the name Electramotive in the United States, the cars were intended to be completed by the middle of 1992, with competition starting in 1993.  However economic troubles for Nissan led to the cancellation of the project soon after testing of the first cars had begun, meaning that the P35s never raced. During the development of the P35, Nissan's own motorsports division, Nismo, began work on a modified P35 design that would be adapted to the All Japan Sports Prototype Championship.  This car, known as the NP35, would be allowed to race only once before it too was cancelled.  These would be the final prototypes built by Nissan until 1997.",The Nissan P35 was a planned Group C car built by Nissan Motors for competition in the World Sportscar Championship.,False
Camp Wallace,Camp Wallace served from 1918 to 1971 as satellite facility of the army base which became Fort Eustis. It was the first site of the Army's aerial tramway.,Camp Wallace was a facility of the United States Army located near the unincorporated town of Grove in southeastern James City County in the Virginia Peninsula portion of the Hampton Roads region of Virginia in the United States.,False
Arabian toad,"It is endemic to the Arabian Peninsula and is found in Oman, Saudi Arabia, the United Arab Emirates, and Yemen. Only nine species of amphibians have been found on the Arabian Peninsula, and this toad is one of only two species found in the United Arab Emirates.",The Arabian toad is a species of toad in the family Bufonidae.,False
Florida–Tennessee football rivalry,"The Gators and Vols have competed in the same athletic conference since Florida joined the now-defunct Southern Intercollegiate Athletic Association in 1910, and the schools were founding members of the Southeastern Conference in 1932. Despite this long conference association, a true rivalry did not develop until the early 1990s due to the infrequency of earlier meetings; in the first seventy-six years (1916–91) of the series, the two teams met just twenty-one times. The Southeastern Conference (SEC) expanded to twelve universities and split into two divisions in 1992. Florida and Tennessee were placed in the SEC's East Division and have met on a home-and-home basis every season since. Their rivalry quickly blossomed in intensity and importance in the 1990s and early 2000s as both programs regularly fielded national championship contending teams under coaches Phil Fulmer of Tennessee and Steve Spurrier at Florida. Tennessee dominated the rivalry's early years, winning the first ten meetings and holding a 13–2 lead in the series after beating the Gators in 1971. Florida has held the advantage since then, especially since the schools became SEC East rivals in 1992. After winning in 2020, Florida leads the all-time series 30–20.","The Florida–Tennessee football rivalry, sometimes referred to as the ""Third Saturday in September"", is an American college football rivalry between the Florida Gators football team of the University of Florida and Tennessee Volunteers football team of the University of Tennessee, who first met on the football field in 1916.",False
Vikram University,The university was named after the ruler Vikramaditya. It was established in 1957. It was  evaluated by the National Assessment and Accreditation Council and was awarded an A grade.,"Vikram University is located in Ujjain, Madhya Pradesh, India.",False
Mistress Pat,"It is the sequel to Pat of Silver Bush, and describes Patricia Gardiner's life in her twenties and early thirties, during which she remains unmarried and takes care of her beloved home, Silver Bush, on Prince Edward Island. At twenty years old, Pat hates change as much as ever, and finds in Silver Bush a refuge where she is somewhat shielded from it, but changes happen nevertheless.  In the course of eleven years, new servants, new neighbors, and new lovers come and go. Pat's older brother, Sid, suddenly marries the loud and opinionated May Binnie after he is jilted by another woman. The Gardiners consider the Binnie family to be of a lower class, and Pat and May have had an ongoing feud since childhood. May and Sid live with the family at Silver Bush, with the equally inconsiderate Binnie family dropping in whenever they desire and making plans to take over Silver Bush. Sid and May's marriage is an extremely unhappy one, May making enemies of all her in-laws, alternately screaming, sulking, and throwing things. Pat's younger sister Rachel, aka Cuddles, demands that everyone call her Rae from now on, and leaves for college. Life at Silver Bush is no longer as pleasant as before, but Pat clings to her love of home desperately. Pat often wonders whether anything in life, like marriage or children, could be worth leaving Silver Bush behind. Joe Gardiner returns briefly and finally marries his long-time fiancée, while Rae marries and moves to China. Donald Holmes asks Pat to marry him but she refuses, and a former beau turned widower from Pat's teen years also unsuccessfully asks for her hand. After finally deciding to visit her late friend Bets Wilcox's former home, Pat stumbles across new neighbors David and Suzanne Kirk, brother and sister. She takes solace in their easy friendship and becomes interested in David, an older widower. When he finally finds the chance to propose she accepts, contented with the thought of always watching over Silver Bush. Unbeknownst to Pat, Rae has been sending letters to Pat's childhood friend Hilary, embellishing news of Pat's romantic conquests in hopes of making Hilary (whose boyhood love of Pat is unrequited) jealous enough to return. This has the opposite effect, and Hilary eventually stops sending any letters to Pat. Years pass, and Pat becomes comfortable with the idea of marrying David, until Hilary returns for a brief visit to Silver Bush. After Hilary leaves, David breaks the engagement and states (to Pat's protestations) that Hilary Gordon, who has been away studying architecture for ten years, is the reason he will never have Pat's affections. The Gardiner family is disappointed but unsurprised, having long ago assigned Pat to old-maidenhood. Mrs. Gardiner's health begins to improve after many years, but Judy Plum's age begins to catch up with her. After sneaking out to milk the cows one night, Judy has a heart attack and is found unconscious the next day. One month later, Judy Plum dies, and Pat feels more alone than ever.  When Silver Bush ultimately burns down due to May's negligence, Pat must resign herself to living elsewhere. May is delighted to have a new house built on the ashes of Silver Bush and makes no secret of it. The Gardiner family slowly resumes life at the Bay Shore, property inherited from Mrs. Gardiner's elderly aunt, but Pat is a shell of her former self. One night, as Pat is looking over the burned remains of Silver Bush, Hilary finally returns to the Island to claim Pat with a kiss. He reveals that Judy wrote to him of Pat's broken engagement on her deathbed and advised him to try again. Hilary, now the triumphant lover, tells Pat about the house he has built for her in Vancouver, BC. The book's United States copyright was renewed in 1963.",Mistress Pat is a novel written by L. M. Montgomery.,False
Pashtun tribes,"They are found primarily in Afghanistan and Pakistan and form the world's largest tribal society, comprising over 49 million people and between 350 and 400 tribes and clans. They are traditionally divided into four tribal confederacies: the Sarbani (سړبني), the Bettani (بېټني), the Gharghashti (غرغښتي) and the Karlani (کرلاڼي). Folkloric genealogies trace the descendants of the Pashtuns to Qais Abdur Rashid and his three sons Saṛban (سړبن), Bēṭ (بېټ), and Gharghax̌t (غرغښت) as well as an adopted son, not directly adopted by Qais Abdul Rashid, therefore, the identity of Karlan himself and the man who adopted him, according to some books written on the history of the Pashtuns, is either unclear or controversial, the Karlani confederacy Ormur Baraki, who became the progenitor of the Karlani. There are several levels of organisation of Pashtun tribes. The ""tribe"" is subdivided into kinship groups, each of which is a khel and zai. A khel or zai is further divided into plarina, each of which consists of several extended families. A large tribe often has dozens of subtribes whose members may see themselves as belonging to each, some or all of the sub-tribes in their family tree depending upon the social situation: co-operative, competitive or confrontational.","The Pashtun tribes , historically also known as Afghan tribes, are the tribes of the Pashtun people, a large Eastern Iranian ethnic group who use the Pashto language and follow Pashtunwali code of conduct.",False
Eleocharis,"The name is derived from the Greek words ἕλειος (heleios), meaning ""marsh dweller,"" and χάρις (charis), meaning ""grace."" Members of the genus are known commonly as spikerushes or spikesedges. The genus has a geographically cosmopolitan distribution, with centers of diversity in the Amazon Rainforest and adjacent eastern slopes of the South American Andes, northern Australia, eastern North America, California, Southern Africa, and subtropical Asia. The vast majority of Eleocharis species grow in aquatic or mesic habitats from sea level to higher than 5,000 meters in elevation (in the tropical Andes). The genus itself is relatively easy to recognize; all Eleocharis species have photosynthetic stems but no green leaves (the leaves have been reduced to sheaths surrounding the base of the stems). Many species are robust, rhizomatously-spreading plants of lowland tropical wetlands, while many others are small caespitose annual or perennial herbs growing near streams, and still others are intermediate. There are also a number of species that are obligate aquatic species, which usually have submerged, branching stems and often exhibit interesting photosynthetic adaptations, such as the ability to switch between C3 and C4 carbon fixation in response to different environmental stimuli. In all Eleocharis species, the flowers are borne on unbranched terminal spikelets at the apices of stems. In spite of the diversity of the genus itself, taxonomic characters useful for delimiting species within it are few, and many species are very difficult to tell apart. Many currently recognized species with very wide geographic ranges are highly polymorphic. Some of these species probably contain multiple independently evolving lineages.  Because of their difficult nature, it is suggested that many botanists avoid collecting these plants and so many species are under-represented in the botanical record. One of the best known species is the Chinese water chestnut, Eleocharis dulcis. These plants bear tubers on their rhizomes which may be peeled and eaten raw or boiled. In Australia, magpie geese rely almost exclusively on these tubers for sustenance for a significant portion of the year.","Eleocharis is a virtually cosmopolitan genus of 250 or more species of flowering plants in the sedge family, Cyperaceae.",False
